user,item,Time
2342,2915,"11 19, 2011"
7121,4169,"04 13, 2016"
12752,9800,"02 25, 2014"
5954,1524,"05 26, 2010"
8805,6877,"10 8, 2017"
13703,13350,"05 10, 2013"
8290,11360,"04 20, 2014"
3808,15135,"03 5, 2017"
14846,13228,"10 15, 2016"
13492,12967,"07 30, 2017"
8864,4375,"04 21, 2017"
1539,15141,"05 14, 2017"
6985,5527,"12 14, 2014"
13595,11872,"06 30, 2016"
6846,4073,"10 27, 2014"
9311,15097,"05 12, 2015"
4546,10428,"08 20, 2016"
14275,11131,"06 6, 2014"
11767,13885,"02 18, 2017"
1842,8192,"03 6, 2014"
408,4677,"01 9, 2015"
7234,8415,"03 11, 2018"
14211,11018,"07 24, 2014"
13776,10858,"09 21, 2013"
14473,14499,"12 18, 2017"
13973,11014,"08 9, 2015"
5940,6208,"05 24, 2013"
7476,8081,"08 28, 2014"
14663,8243,"01 20, 2014"
8519,6710,"08 16, 2013"
7233,11165,"03 30, 2016"
8998,12850,"03 19, 2017"
5032,4260,"09 25, 2017"
12078,3195,"07 4, 2017"
14696,15026,"07 27, 2015"
7019,13810,"05 11, 2014"
10891,3104,"02 20, 2015"
781,913,"03 23, 2015"
9943,13172,"07 19, 2014"
4897,5097,"01 5, 2016"
13880,9777,"04 3, 2018"
595,5708,"12 15, 1999"
10475,14173,"02 21, 2017"
1781,3560,"01 25, 2016"
6859,10940,"03 10, 2015"
7106,1092,"06 27, 2017"
907,105,"03 26, 2007"
3468,198,"05 16, 2017"
10439,4843,"08 5, 2014"
5218,14919,"05 30, 2000"
4839,1823,"12 16, 2017"
7278,11699,"06 17, 2015"
10654,6216,"03 21, 2013"
5385,13509,"09 6, 2016"
8227,8429,"12 9, 2016"
7294,11365,"04 20, 2014"
8575,13484,"01 18, 2016"
14509,13347,"02 19, 2018"
13430,10976,"10 7, 2017"
6701,9133,"05 8, 2009"
7393,13748,"08 4, 2013"
7974,6535,"07 19, 2016"
10737,7033,"06 4, 2016"
8130,1068,"05 23, 2016"
750,3578,"03 20, 2017"
6736,1851,"12 21, 2013"
6489,9622,"01 24, 2017"
11810,3053,"04 28, 2012"
2419,5788,"10 28, 2017"
2464,2417,"03 2, 2015"
14755,10403,"03 31, 2013"
12024,13170,"01 6, 2013"
7443,15016,"10 11, 2012"
2813,9807,"10 17, 2014"
11274,9856,"05 23, 2016"
8141,14291,"10 8, 2017"
3439,6577,"05 6, 2014"
4922,7578,"04 23, 2013"
5826,5414,"10 28, 2013"
10615,6433,"03 3, 2014"
12416,10160,"11 14, 2012"
9516,9343,"01 20, 2012"
12001,4349,"03 14, 2015"
1496,5844,"03 10, 2015"
7290,12412,"02 27, 2016"
10909,10605,"04 14, 2018"
132,12265,"12 11, 2015"
8228,12435,"03 17, 2016"
1613,1943,"09 26, 2015"
11005,6587,"12 13, 2016"
40,4002,"12 13, 2014"
14331,5795,"07 15, 2014"
11135,14187,"02 3, 2016"
2141,1118,"01 29, 2016"
4727,13300,"01 30, 2018"
9476,1405,"02 22, 2015"
14455,11103,"10 29, 2014"
3117,587,"01 11, 2015"
12475,7959,"12 30, 2014"
179,2117,"08 10, 2014"
9761,10084,"06 19, 2015"
14468,12815,"02 14, 2017"
11604,11645,"01 30, 2018"
2469,1561,"11 28, 2014"
10803,10507,"03 29, 2016"
932,1742,"12 20, 2016"
1840,3294,"12 8, 2014"
8662,11306,"02 25, 2018"
1193,15106,"08 20, 2010"
2252,1692,"05 17, 2013"
9752,9178,"05 29, 2013"
2663,5244,"08 11, 2014"
363,1902,"12 10, 2006"
1399,1107,"08 31, 2004"
395,4745,"04 14, 2015"
51,6750,"01 8, 2014"
4530,5450,"03 17, 2009"
13484,10760,"07 17, 2015"
11238,12951,"07 10, 2017"
7489,10139,"10 14, 2013"
2880,167,"03 1, 2012"
2494,3550,"02 14, 2000"
12244,4900,"07 1, 2013"
10910,6290,"04 19, 2015"
5462,8203,"12 9, 2014"
7567,1909,"10 3, 2015"
3281,3242,"04 10, 2016"
4029,13281,"04 2, 2015"
11503,3281,"08 9, 2016"
4505,13517,"04 7, 2016"
528,1349,"03 27, 2011"
12082,10095,"01 8, 2014"
3568,12909,"10 18, 2017"
5666,8916,"09 18, 2014"
14882,12003,"11 26, 2016"
4250,2737,"03 13, 2018"
5078,8209,"05 28, 2014"
10465,2597,"03 12, 2014"
1729,8565,"06 8, 2014"
2720,10486,"12 7, 2012"
5657,4336,"01 4, 2012"
8240,4190,"02 26, 2018"
7684,964,"06 18, 2014"
7403,12765,"12 17, 2016"
7506,14009,"10 6, 2014"
3207,4098,"10 10, 2014"
1794,359,"12 8, 2013"
5617,1381,"06 3, 2015"
7577,9993,"03 8, 2013"
6943,2025,"07 27, 2011"
14824,14049,"01 25, 2015"
8609,15213,"07 10, 2018"
278,3893,"08 17, 2010"
537,2479,"02 8, 2006"
6662,4438,"01 19, 2013"
14504,8474,"03 26, 2018"
1533,1911,"06 6, 2013"
7310,2623,"09 27, 2013"
