user,item,Time
0,0,"08 9, 2017"
1,0,"05 19, 2017"
2,0,"04 25, 2017"
3,0,"11 1, 2016"
4,0,"06 13, 2015"
5,0,"03 30, 2015"
6,0,"02 22, 2015"
7,0,"11 13, 2014"
8,0,"12 17, 2013"
9,0,"09 4, 2013"
10,0,"08 14, 2013"
11,0,"08 12, 2013"
12,0,"05 6, 2013"
13,0,"02 28, 2013"
14,0,"08 31, 2012"
15,0,"12 6, 2011"
16,0,"11 30, 2011"
17,0,"11 28, 2011"
18,0,"10 16, 2009"
19,0,"02 7, 2009"
20,0,"09 28, 2007"
21,0,"03 19, 2007"
22,0,"11 13, 2006"
23,0,"07 5, 2001"
24,1,"11 17, 2017"
25,1,"04 30, 2017"
26,1,"08 4, 2015"
27,1,"06 3, 2015"
28,1,"05 7, 2015"
29,1,"08 24, 2014"
30,1,"06 15, 2014"
31,1,"03 7, 2014"
32,1,"03 3, 2013"
33,1,"09 2, 2006"
34,1,"12 10, 2000"
35,1,"08 30, 2000"
36,2,"06 5, 2007"
37,2,"04 24, 2002"
38,2,"08 25, 2017"
39,2,"07 7, 2017"
40,2,"10 6, 2016"
41,2,"06 25, 2016"
42,2,"01 2, 2016"
43,2,"02 26, 2014"
44,2,"06 23, 2013"
45,2,"09 22, 2012"
46,2,"01 5, 2010"
47,3,"07 31, 2017"
48,4,"10 28, 2017"
49,3,"10 13, 2015"
50,4,"09 1, 2017"
51,3,"08 30, 2015"
52,4,"10 18, 2016"
53,4,"05 9, 2016"
54,4,"11 5, 2015"
55,5,"11 5, 2017"
56,4,"02 8, 2015"
57,3,"07 16, 2014"
58,4,"11 16, 2014"
59,3,"03 26, 2014"
60,4,"07 17, 2014"
61,3,"01 16, 2014"
62,5,"09 18, 2016"
63,4,"01 4, 2014"
64,3,"10 7, 2013"
65,3,"07 15, 2013"
66,4,"10 8, 2013"
67,4,"03 30, 2013"
68,3,"03 1, 2013"
69,4,"08 6, 2012"
70,4,"05 31, 2012"
71,4,"02 11, 2012"
72,4,"08 18, 2002"
73,4,"04 5, 2002"
74,4,"07 20, 2000"
75,3,"09 13, 2011"
76,3,"07 28, 2010"
77,3,"02 5, 2009"
78,5,"02 28, 2015"
79,3,"10 1, 2005"
80,3,"06 4, 2003"
81,3,"10 7, 2002"
82,3,"11 1, 2000"
83,5,"10 3, 2014"
84,5,"08 9, 2014"
85,5,"03 27, 2014"
86,5,"02 24, 2014"
87,5,"02 21, 2014"
88,5,"12 9, 2013"
89,5,"09 23, 2013"
90,5,"09 1, 2013"
91,5,"08 15, 2013"
92,5,"06 21, 2013"
93,5,"04 24, 2013"
94,5,"03 8, 2013"
95,5,"03 4, 2013"
96,5,"01 11, 2013"
97,5,"11 30, 2012"
98,5,"08 1, 2012"
99,5,"04 15, 2012"
100,5,"03 17, 2011"
101,5,"11 27, 2010"
102,5,"12 1, 2009"
103,5,"07 18, 2006"
104,5,"03 13, 2006"
105,6,"06 6, 2017"
106,6,"12 28, 2016"
